time_,run no,fishno_db,fishno,cohort,cellno,age,length,mass,MeHg,MeHg egest rate,MeHg excr flux,MeHg gill flux,MeHg diet total,fishMeHg diet frac,Phyto 1MeHg diet frac,Primary Benth 3MeHg diet frac,Zoo 1MeHg diet frac
0.000000,1,59,1,0,1,6.657534e-001,5.045338e+000,1.926469e+000,4.000000e-002,2.814023e-002,2.063858e-003,4.686385e-002,1.125609e-001,0.000000e+000,1.095454e-002,6.385000e-001,3.505454e-001
0.000000,1,59,1,1,1,1.665753e+000,7.054358e+000,5.265793e+000,6.000000e-002,1.858311e-002,2.044381e-003,3.673015e-002,7.433245e-002,0.000000e+000,1.095454e-002,6.385000e-001,3.505454e-001
0.000000,1,67,2,0,1,6.657534e-001,7.589563e+000,7.739334e+000,2.000000e-002,1.781965e-002,1.225550e-004,2.389480e-002,7.127860e-002,0.000000e+000,0.000000e+000,7.846171e-001,2.153829e-001
0.000000,1,67,2,1,1,1.665753e+000,1.224754e+001,3.283644e+001,3.000000e-002,1.050327e-002,1.083546e-004,1.676478e-002,4.201306e-002,0.000000e+000,0.000000e+000,7.846171e-001,2.153829e-001
0.000000,1,67,2,2,1,2.665753e+000,1.566951e+001,6.910608e+001,4.500000e-002,8.087372e-003,1.251474e-004,1.406301e-002,3.234949e-002,0.000000e+000,0.000000e+000,7.846171e-001,2.153829e-001
0.000000,1,67,2,3,1,3.665753e+000,1.833095e+001,1.109859e+002,6.000000e-002,6.867470e-003,1.416935e-004,1.259711e-002,2.746988e-002,0.000000e+000,0.000000e+000,7.846171e-001,2.153829e-001
0.000000,1,67,2,4,1,4.665753e+000,2.049724e+001,1.555139e+002,7.500000e-002,7.644339e-003,1.578166e-004,1.165571e-002,3.057736e-002,2.952563e-001,0.000000e+000,5.682529e-001,1.364907e-001
0.000000,1,67,2,5,1,5.665753e+000,2.229283e+001,2.004047e+002,9.000000e-002,7.012222e-003,1.737199e-004,1.099830e-002,2.804889e-002,2.952563e-001,0.000000e+000,5.682529e-001,1.364907e-001
0.000000,1,67,2,6,1,6.665753e+000,2.379858e+001,2.441366e+002,1.050000e-001,6.557830e-003,1.895400e-004,1.051427e-002,2.623132e-002,2.952563e-001,0.000000e+000,5.682529e-001,1.364907e-001
0.000000,1,67,2,7,1,7.665753e+000,2.507146e+001,2.857402e+002,1.200000e-001,6.217272e-003,2.053679e-004,1.014474e-002,2.486909e-002,2.952563e-001,0.000000e+000,5.682529e-001,1.364907e-001
