time_,run no,cellno_db,compno,cell_no,layer,volume,elevation (top),area (top),MeHg (unfilt),MeHg (diss),MeHg (solids),MeHg (phyto),MeHg (zoo),HgII (unfilt),HgII (diss),HgII (solids),HgInert,HgII (phyto),Hg (zoo),Hg0,MeHg Mass,HgII mass,HgInert mass,mass Hg0
0.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.000000e-001,8.484695e-002,6.723137e-003,1.044685e-002,4.178741e-002,2.400000e+000,2.299475e+000,1.436074e-001,0.000000e+000,6.369085e-016,1.592271e-016,1.000000e-002,1.436218e+005,3.446922e+006,0.000000e+000,1.436218e+004
0.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.000000e-001,9.403878e-002,7.451529e-003,0.000000e+000,0.000000e+000,2.400000e+000,2.285797e+000,1.427541e-001,0.000000e+000,0.000000e+000,0.000000e+000,1.000000e-002,1.224020e+005,2.937648e+006,0.000000e+000,1.224020e+004
3650.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,9.697944e-002,8.228476e-002,6.518872e-003,1.013146e-002,4.052584e-002,2.463163e+000,2.360011e+000,1.473600e-001,0.000000e+000,6.536810e-016,1.634202e-016,5.594018e-002,1.392836e+005,3.537637e+006,0.000000e+000,8.034227e+004
3650.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,9.742192e-002,9.161555e-002,7.257968e-003,0.000000e+000,0.000000e+000,2.470557e+000,2.353021e+000,1.469211e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.647159e-002,1.192464e+005,3.024012e+006,0.000000e+000,6.912236e+004
7300.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,9.882231e-002,8.384840e-002,6.642755e-003,1.032399e-002,4.129594e-002,2.460726e+000,2.357676e+000,1.472144e-001,0.000000e+000,6.530344e-016,1.632586e-016,5.589997e-002,1.419303e+005,3.534138e+006,0.000000e+000,8.028451e+004
7300.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,9.934876e-002,9.342754e-002,7.401521e-003,0.000000e+000,0.000000e+000,2.467972e+000,2.350558e+000,1.467674e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.643105e-002,1.216049e+005,3.020848e+006,0.000000e+000,6.907274e+004
10950.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.002098e-001,8.502569e-002,6.735911e-003,1.046895e-002,4.187579e-002,2.464456e+000,2.361251e+000,1.474351e-001,0.000000e+000,6.540250e-016,1.635062e-016,5.595955e-002,1.439230e+005,3.539495e+006,0.000000e+000,8.037008e+004
10950.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.007825e-001,9.477594e-002,7.508210e-003,0.000000e+000,0.000000e+000,2.471756e+000,2.354164e+000,1.469899e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.649132e-002,1.233598e+005,3.025478e+006,0.000000e+000,6.914650e+004
14600.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.014036e-001,8.603868e-002,6.816054e-003,1.059368e-002,4.237472e-002,2.468058e+000,2.364704e+000,1.476483e-001,0.000000e+000,6.549817e-016,1.637454e-016,5.601723e-002,1.456376e+005,3.544667e+006,0.000000e+000,8.045292e+004
14600.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.020132e-001,9.593342e-002,7.599781e-003,0.000000e+000,0.000000e+000,2.475426e+000,2.357661e+000,1.472059e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.654965e-002,1.248663e+005,3.029971e+006,0.000000e+000,6.921790e+004
